"bénéficiaire","département","montant versé en 2013 (€)","nature de la subvention","programme budgétaire","attributeur","département attributeur","mandat attributeur","année d'octroi de la subvention","prénom","nom","sexe","groupe","url_institution","url_nosparlementaires","url_nosparlementaires_api"
"100% sport et loisirs","",1000,"NC",219,"CINIERI Dino",42,"Député","","Dino","Cinieri","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/267429.asp","http://www.nosdeputes.fr/dino-cinieri","http://www.nosdeputes.fr/dino-cinieri/xml"
"1686° Section des Médaillés Militaires Meyenheim quartier Dio","",1000,"Fonctionnement",169,"SORDI Michel",68,"Député","","Michel","Sordi","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/267013.asp","http://www.nosdeputes.fr/michel-sordi","http://www.nosdeputes.fr/michel-sordi/xml"
"35th « Santa Fe » Division in Normandy","",1500,"Fonctionnement",169,"GOSSELIN Philippe",50,"Député","","Philippe","Gosselin","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/266797.asp","http://www.nosdeputes.fr/philippe-gosselin","http://www.nosdeputes.fr/philippe-gosselin/xml"
"37è parallèle","",14000,"Matériel studios musique, salles de danse et d'atelier",224,"GILLE Jean-Patrick",37,"Député","","Jean-Patrick","Gille","H","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/332305.asp","http://www.nosdeputes.fr/jean-patrick-gille","http://www.nosdeputes.fr/jean-patrick-gille/xml"
"4Chem1 Evolution","",4000,"Soutien scolaire de jeunes en difficulté",230,"GUIGOU Elisabeth",93,"Député","","Élisabeth","Guigou","F","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/1579.asp","http://www.nosdeputes.fr/elisabeth-guigou","http://www.nosdeputes.fr/elisabeth-guigou/xml"
"4H Tarare","",1000,"NC",219,"VERCHERE Patrice",69,"Député","","Patrice","Verchère","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/334843.asp","http://www.nosdeputes.fr/patrice-verchere","http://www.nosdeputes.fr/patrice-verchere/xml"
"55ème section Bar-le-Duc de la Sté nationale d'entraide de la médaille militaire","",1000,"Achat d'un nouveau drapeau",169,"CINIERI Dino",42,"Député","","Dino","Cinieri","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/267429.asp","http://www.nosdeputes.fr/dino-cinieri","http://www.nosdeputes.fr/dino-cinieri/xml"
"A chacun ses vacances","",3000,"Fonctionnement",157,"FILLON François",75,"Député","","François","Fillon","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/1310.asp","http://www.nosdeputes.fr/francois-fillon","http://www.nosdeputes.fr/francois-fillon/xml"
"A coeur Joie","",1000,"Fonctionnement",224,"PERRUT Bernard",69,"Député","","Bernard","Perrut","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/2377.asp","http://www.nosdeputes.fr/bernard-perrut","http://www.nosdeputes.fr/bernard-perrut/xml"
"A P E L Ecole Saint Joseph","",1000,"Fonctionnement",214,"MARC Alain",12,"Député","","Alain","Marc","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/267512.asp","http://www.nosdeputes.fr/alain-marc","http://www.nosdeputes.fr/alain-marc/xml"
"A petits pas","",2000,"Fonctionnement",140,"HEINRICH Michel",88,"Député","","Michel","Heinrich","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/267246.asp","http://www.nosdeputes.fr/michel-heinrich","http://www.nosdeputes.fr/michel-heinrich/xml"
"A Portée de Voix","",1000,"Fonctionnement",224,"DE LA RAUDIERE Laure",28,"Député","","Laure de","La Raudière","F","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/331567.asp","http://www.nosdeputes.fr/laure-de-la-raudiere","http://www.nosdeputes.fr/laure-de-la-raudiere/xml"
"A portée de Voix","",3000,"Fonctionnement",224,"SOLERE Thierry",92,"Député","","Thierry","Solère","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/346876.asp","http://www.nosdeputes.fr/thierry-solere","http://www.nosdeputes.fr/thierry-solere/xml"
"A Travers Chant","",1000,"Fonctionnement",224,"STRAUMANN Eric",68,"Député","","Éric","Straumann","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/334654.asp","http://www.nosdeputes.fr/eric-straumann","http://www.nosdeputes.fr/eric-straumann/xml"
"A votre Service","",1000,"Fonctionnement",106,"LAZARO Thierry",59,"Député","","Thierry","Lazaro","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/1857.asp","http://www.nosdeputes.fr/thierry-lazaro","http://www.nosdeputes.fr/thierry-lazaro/xml"
