"bénéficiaire","département","montant versé en 2013 (€)","nature de la subvention","programme budgétaire","attributeur","département attributeur","mandat attributeur","année d'octroi de la subvention","prénom","nom","sexe","groupe","url_institution","url_nosparlementaires","url_nosparlementaires_api"
"ABBEVILLE",80,1316,"L'aménagement de l'aire de jeux ""Picardie"" située quartier des Provinces",122,"MATHON Gilbert",80,"Député",2012,"Gilbert","Mathon","H","SRC","http://www.assembleenationale.fr/13/tribun/fiches_id/336067.asp","http://2007-2012.nosdeputes.fr/gilbert-mathon","http://2007-2012.nosdeputes.fr/gilbert-mathon/xml"
"ABBEVILLE",80,2699,"L'aménagement des vestiaires du terrain de rugby, situé côté de la Justice",122,"MATHON Gilbert",80,"Député",2012,"Gilbert","Mathon","H","SRC","http://www.assembleenationale.fr/13/tribun/fiches_id/336067.asp","http://2007-2012.nosdeputes.fr/gilbert-mathon","http://2007-2012.nosdeputes.fr/gilbert-mathon/xml"
"ABBEVILLE-SAINT-LUCIEN",60,1300,"L'installation d'une alarme dans les bâtiments communaux",122,"DASSAULT Olivier",60,"Député",2012,"Olivier","Dassault","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/998.asp","http://www.nosdeputes.fr/olivier-dassault","http://www.nosdeputes.fr/olivier-dassault/xml"
"ABEILHAN",34,16851,"La réfection de la cour de l'école Léon Lagarde et l'acquisition de jeux, de mobilier de cour et d'équipements complémentaires",122,"DENAJA Sébastien",34,"Député",2013,"Sébastien","Denaja","H","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/606623.asp","http://www.nosdeputes.fr/sebastien-denaja","http://www.nosdeputes.fr/sebastien-denaja/xml"
"ABELCOURT",70,8000,"La sécurisation de la RD 6 en traverse du village (1ère tranche)",122,"RAISON Michel",70,"Député",2012,"Michel","Raison","H","UMP","http://www.assembleenationale.fr/13/tribun/fiches_id/267018.asp","http://2007-2012.nosdeputes.fr/michel-raison","http://2007-2012.nosdeputes.fr/michel-raison/xml"
"ABILLY",37,11400,"L'aménagement d'un préau sur l'Ile de la Claise",122,"TOURAINE Marisol",37,"Député",2012,"Marisol","Touraine","F","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/2825.asp","http://www.nosdeputes.fr/marisol-touraine","http://www.nosdeputes.fr/marisol-touraine/xml"
"ABONCOURT",57,3000,"L'aménagement d'un chemin d'accès au city-stade",122,"FILIPPETTI Aurélie",57,"Député",2009,"Aurélie","Filippetti","F","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/333611.asp","http://www.nosdeputes.fr/aurelie-filippetti","http://www.nosdeputes.fr/aurelie-filippetti/xml"
"ACCOLAY",89,9891,"La restauration de la toiture de la nef de l'église",122,"ROLLAND Jean-Marie",89,"Député",2012,"Jean-Marie","Rolland","H","UMP","http://www.assembleenationale.fr/13/tribun/fiches_id/267570.asp","http://2007-2012.nosdeputes.fr/jean-marie-rolland","http://2007-2012.nosdeputes.fr/jean-marie-rolland/xml"
"ACHERES",18,2370,"La mise aux normes électriques de l'atelier communal",122,"FROMION Yves",18,"Député",2013,"Yves","Fromion","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/1379.asp","http://www.nosdeputes.fr/yves-fromion","http://www.nosdeputes.fr/yves-fromion/xml"
"ACHEU-EN-VIMEU",80,4000,"La restauration de la sacristie de l'église",122,"ACCOYER Bernard",74,"Député",2011,"Bernard","Accoyer","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/230.asp","http://www.nosdeputes.fr/bernard-accoyer","http://www.nosdeputes.fr/bernard-accoyer/xml"
