"bénéficiaire","département","montant versé en 2013 (€)","nature de la subvention","programme budgétaire","attributeur","département attributeur","mandat attributeur","année d'octroi de la subvention","prénom","nom","sexe","groupe","url_institution","url_nosparlementaires","url_nosparlementaires_api"
"1ère Compagnie des archers de Mende et non Montagnes et Rivières","",500,"NC",219,"BERTRAND Alain",48,"Sénateur","","Alain","Bertrand","H","RDSE","http://www.senat.fr/senateur/bertrand_alain11081p.html","http://www.nossenateurs.fr/alain-bertrand","http://www.nossenateurs.fr/alain-bertrand/xml"
"2D Attitude","",11000,"Fonctionnement : Étude de pré-faisabilité pour la réalisation de lignes de transport public",113,"TUHEIAVA Richard Ari'ihau",987,"Sénateur","","Richard","Tuheiava","H","SOC","http://www.senat.fr/senateur/tuheiava_richard08071a.html","http://www.nossenateurs.fr/richard-tuheiava","http://www.nossenateurs.fr/richard-tuheiava/xml"
"32ème section Avignon de la Sté nationale d'entraide de la médaille militaire","",1000,"Fonctionnement",169,"DUFAUT Alain",84,"Sénateur","","Alain","Dufaut","H","UMP","http://www.senat.fr/senateur/dufaut_alain87003b.html","http://www.nossenateurs.fr/alain-dufaut","http://www.nossenateurs.fr/alain-dufaut/xml"
"4 CHEM1 EVOLUTION","",7000,"NC",163,"ARCHIMBAUD Aline",93,"Sénateur","","Aline","Archimbaud","F","ECO","http://www.senat.fr/senateur/archimbaud_aline11055m.html","http://www.nossenateurs.fr/aline-archimbaud","http://www.nossenateurs.fr/aline-archimbaud/xml"
"4 D","",10000,"NC",217,"PLACE Jean-Vincent",91,"Sénateur","","Jean-Vincent","Placé","H","ECO","http://www.senat.fr/senateur/place_jean_vincent11069t.html","http://www.nossenateurs.fr/jean-vincent-place","http://www.nossenateurs.fr/jean-vincent-place/xml"
"7 du sport","",6000,"NC",157,"POZZO DI BORGO Yves",75,"Sénateur","","Yves","Pozzo di Borgo","H","UDI","http://www.senat.fr/senateur/pozzo_di_borgo_yves04080j.html","http://www.nossenateurs.fr/yves-pozzo-di-borgo","http://www.nossenateurs.fr/yves-pozzo-di-borgo/xml"
"A la rencontre d'Ecrivains","",4000,"Subvention fonctionnement",224,"MAZARS Stéphane",12,"Sénateur","","Stéphane","Mazars","H","RDSE","http://www.senat.fr/senateur/mazars_stephane12039e.html","http://www.nossenateurs.fr/stephane-mazars","http://www.nossenateurs.fr/stephane-mazars/xml"
"Aassociation ""Javouhey Inter-Génération""","",10000,"Subvention fonctionnement",224,"PATIENT Georges",973,"Sénateur","","Georges","Patient","H","SOC","http://www.senat.fr/senateur/patient_georges08073c.html","http://www.nossenateurs.fr/georges-patient","http://www.nossenateurs.fr/georges-patient/xml"
"Acadecuivres","",1000,"Subvention fonctionnement",224,"MORIN-DESAILLY Catherine",76,"Sénateur","","Catherine","Morin-Desailly","F","UDI","http://www.senat.fr/senateur/morin_desailly_catherine04070g.html","http://www.nossenateurs.fr/catherine-morin-desailly","http://www.nossenateurs.fr/catherine-morin-desailly/xml"
"Académie d'Art de Meudon et des Hauts de Seine","",5000,"Subvention fonctionnement",131,"MARSEILLE Hervé",92,"Sénateur","","Hervé","Marseille","H","UDI","http://www.senat.fr/senateur/marseille_herve11085t.html","http://www.nossenateurs.fr/herve-marseille","http://www.nossenateurs.fr/herve-marseille/xml"
"Académie du Var","",10000,"Subvention fonctionnement",224,"TRUCY François",83,"Sénateur","","François","Trucy","H","UMP","http://www.senat.fr/senateur/trucy_francois86049m.html","http://www.nossenateurs.fr/francois-trucy","http://www.nossenateurs.fr/francois-trucy/xml"
"Académie Vocale en Vendée Romane","",2500,"Subvention fonctionnement",131,"MERCERON Jean-Claude",85,"Sénateur","","Jean-Claude","Merceron","H","UDI","http://www.senat.fr/senateur/merceron_jean_claude04083m.html","http://www.nossenateurs.fr/jean-claude-merceron","http://www.nossenateurs.fr/jean-claude-merceron/xml"
"ACAJA","",3000,"NC",134,"JOUANNO Chantal",75,"Sénateur","","Chantal","Jouanno","F","UDI","http://www.senat.fr/senateur/jouanno_chantal09001p.html","http://www.nossenateurs.fr/chantal-jouanno","http://www.nossenateurs.fr/chantal-jouanno/xml"
"Aced Metallia","",10000,"Subvention fonctionnement",224,"BLANDIN Marie-Christine",59,"Sénateur","","Marie-Christine","Blandin","F","ECO","http://www.senat.fr/senateur/blandin_marie_christine01044r.html","http://www.nossenateurs.fr/marie-christine-blandin","http://www.nossenateurs.fr/marie-christine-blandin/xml"
"Action Aide Asie","",5000,"Chirurgie à Halong Baie",209,"DOMINATI Philippe",75,"Sénateur","","Philippe","Dominati","H","UMP","http://www.senat.fr/senateur/dominati_philippe04071h.html","http://www.nossenateurs.fr/philippe-dominati","http://www.nossenateurs.fr/philippe-dominati/xml"
"Action contre la faim","",15000,"Programme nutritionnel pour réfugiées somaliens en Ethiopie",209,"JOUANNO Chantal",75,"Sénateur","","Chantal","Jouanno","F","UDI","http://www.senat.fr/senateur/jouanno_chantal09001p.html","http://www.nossenateurs.fr/chantal-jouanno","http://www.nossenateurs.fr/chantal-jouanno/xml"
"Action Femmes 31","",6000,"Action Femmes 31",106,"LABORDE Françoise",31,"Sénateur","","Françoise","Laborde","F","RDSE","http://www.senat.fr/senateur/laborde_francoise08031r.html","http://www.nossenateurs.fr/francoise-laborde","http://www.nossenateurs.fr/francoise-laborde/xml"
"ADEP (Accueil)","",5000,"NC",102,"PLACE Jean-Vincent",91,"Sénateur","","Jean-Vincent","Placé","H","ECO","http://www.senat.fr/senateur/place_jean_vincent11069t.html","http://www.nossenateurs.fr/jean-vincent-place","http://www.nossenateurs.fr/jean-vincent-place/xml"
"ADEP (Cuisine)","",5000,"NC",102,"PLACE Jean-Vincent",91,"Sénateur","","Jean-Vincent","Placé","H","ECO","http://www.senat.fr/senateur/place_jean_vincent11069t.html","http://www.nossenateurs.fr/jean-vincent-place","http://www.nossenateurs.fr/jean-vincent-place/xml"
"ADIE","",30000,"NC",177,"Dotation institutionnelle",75,"Sénat","","","","","","","",""
"ADIFLOR","",3000,"Atelier de lecture en République démocratique du Congo",185,"FRASSA Christophe",999,"Sénateur","","Christophe-André","Frassa","H","UMP","http://www.senat.fr/senateur/frassa_christophe_andre08018u.html","http://www.nossenateurs.fr/christophe-andre-frassa","http://www.nossenateurs.fr/christophe-andre-frassa/xml"
"ADIFLOR","",74000,"Appui aux activités",185,"DUVERNOIS Louis",999,"Sénateur","","Louis","Duvernois","H","UMP","http://www.senat.fr/senateur/duvernois_louis01041n.html","http://www.nossenateurs.fr/louis-duvernois","http://www.nossenateurs.fr/louis-duvernois/xml"
