"bénéficiaire","département","montant versé en 2013 (€)","nature de la subvention","programme budgétaire","attributeur","département attributeur","année d'octroi  de la subvention","prénom","nom","sexe","url_sénat","url_nossénateurs","url_nossénateurs_api"
"ABLON-SUR-SEINE",94,4496,"Le réaménagement du parc Sully",122,"LAGAUCHE Serge",94,2009,"Serge","Lagauche","H","http://www.senat.fr/senateur/lagauche_serge97004h.html","http://nossenateurs.fr/serge-lagauche","http://nossenateurs.fr/serge-lagauche/json"
"ABLON-SUR-SEINE",94,6000,"La réhabilitation de la rue du Bac",122,"PLACE Jean-Vincent",91,2012,"Jean-Vincent","Placé","H","http://www.senat.fr/senateur/place_jean_vincent11069t.html","http://nossenateurs.fr/jean-vincent-place","http://nossenateurs.fr/jean-vincent-place/json"
"ABLON-SUR-SEINE",94,10000,"L'acquisition d'une balayeuse",122,"LE MENN Jacky",35,2012,"Jacky","Le Menn","H","http://www.senat.fr/senateur/le_menn_jacky08037x.html","http://nossenateurs.fr/jacky-le-menn","http://nossenateurs.fr/jacky-le-menn/json"
"ABONCOURT",57,1424,"La réfection des murs intérieurs de la salle Saint- Luc",122,"MASSON Jean-Louis",57,2010,"Jean Louis","Masson","H","http://www.senat.fr/senateur/masson_jean_louis01060r.html","http://nossenateurs.fr/jean-louis-masson","http://nossenateurs.fr/jean-louis-masson/json"
"ABONCOURT",57,1640,"L'aménagement d'une aire de jeux, rue de Neudelange",122,"ADNOT Philippe",10,2011,"Philippe","Adnot","H","http://www.senat.fr/senateur/adnot_philippe89017r.html","http://nossenateurs.fr/philippe-adnot","http://nossenateurs.fr/philippe-adnot/json"
"ACHAIN",57,1000,"L'acquisition de matériel informatique et de logiciels de gestion pour le secrétariat de mairie",122,"LEROY Philippe",57,2011,"Philippe","Leroy","H","http://www.senat.fr/senateur/leroy_philippe01061s.html","http://nossenateurs.fr/philippe-leroy","http://nossenateurs.fr/philippe-leroy/json"
"ACHERES",78,4491,"L'acquisition de tableaux numériques interactifs pour les écoles",122,"TASCA Catherine",78,2011,"Catherine","Tasca","F","http://www.senat.fr/senateur/tasca_catherine04056j.html","http://nossenateurs.fr/catherine-tasca","http://nossenateurs.fr/catherine-tasca/json"
"ACHUN",58,7156,"La réhabilitation de la mairie (2ème tranche)",122,"CARRERE Jean-Louis",40,2012,"Jean-Louis","Carrère","H","http://www.senat.fr/senateur/carrere_jean_louis92015p.html","http://nossenateurs.fr/jean-louis-carrere","http://nossenateurs.fr/jean-louis-carrere/json"
"ACQUIGNY",27,10000,"L'acquisition de mobilier pour le groupe scolaire, le restaurant scolaire et la bibliothèque",122,"BOURDIN Joël",27,2012,"Joël","Bourdin","H","http://www.senat.fr/senateur/bourdin_joel89022n.html","http://nossenateurs.fr/joel-bourdin","http://nossenateurs.fr/joel-bourdin/json"
"ACY-ROMANCE",8,3884,"L'acquisition de panneaux de signalisation",122,"LAMENIE Marc",8,2012,"Marc","Laménie","H","http://www.senat.fr/senateur/lamenie_marc07029t.html","http://nossenateurs.fr/marc-lamenie","http://nossenateurs.fr/marc-lamenie/json"
