Parlementaire attributaire,Groupe politique,Chambre,Somme des subventions versées en 2013
Bernard Accoyer,UMP,Assemblée nationale,5537076
Gilles Carrez,UMP,Assemblée nationale,4652665
Gestion collective des sénateur SOC de la commission des finances,SOC,Sénat,3454588
Présidence de l'Assemblée nationale,,Assemblée nationale,2486000
Philippe Marini,UMP,Sénat,2158728
Gestion collective des sénateurs SOC de la commission des affaires étrangères,SOC,Sénat,1927235
Gérard Larcher,UMP,Sénat,1732099
Gestion collective des sénateurs SOC de la commission des lois,SOC,Sénat,1328862
Jean Arthuis,UDI,Sénat,1317579
Dotation institutionnelle,,Sénat,1304375
Gestion collective des sénateurs SOC de la commission des affaires éco,SOC,Sénat,1225941
Gestion collective des sénateurs SOC de la commission de la culture,SOC,Sénat,1221038
Christian Jacob,UMP,Assemblée nationale,1155705
Gestion collective des sénateurs SOC de la commission des affaires sociales,SOC,Sénat,1142593
Gestion collective des sénateurs SOC de la commission du développement durable,SOC,Sénat,1033338
Groupe SRC,SRC,Assemblée nationale,893850
Jean-Yves Cousin,UMP,Assemblée nationale,816862
Pierre Méhaignerie,UMP,Assemblée nationale,776981
Marc Laffineur,UMP,Assemblée nationale,641504
Christian Eckert,SRC,Assemblée nationale,637367
Jean Leonetti,UMP,Assemblée nationale,629441
Axel Poniatowski,UMP,Assemblée nationale,617773
SPILBAUER Jean-Pierre,,Assemblée nationale,593193
Jean-Vincent Placé,ECO,Sénat,565508
Hervé Mariton,UMP,Assemblée nationale,437874
Jérôme Chartier,UMP,Assemblée nationale,436415
Christian Poncelet,UMP,Sénat,435985
Philippe Vigier,UDI,Assemblée nationale,433027
Claude Belot,UMP,Sénat,402444
François Rebsamen,SOC,Sénat,401697
Camille de Rocca Serra,UMP,Assemblée nationale,400976
Xavier Bertrand,UMP,Assemblée nationale,400483
Bernard Deflesselles,UMP,Assemblée nationale,391471
Olivier Carré,UMP,Assemblée nationale,384917
Raymonde Le Texier,SOCV,Sénat,384087
Annie Jarraud-Vergnolle,SOCV,Sénat,379893
Patrick Ollier,UMP,Assemblée nationale,379268
Richard Dell'Agnola,UMP,Assemblée nationale,374703
Philippe Gosselin,UMP,Assemblée nationale,367975
Jean-Marc Ayrault,SRC,Assemblée nationale,367596
Marc Le Fur,UMP,Assemblée nationale,363236
Jérôme Cahuzac,SRC,Assemblée nationale,361375
Philippe Adnot,NI,Sénat,351472
Patrice Martin-Lalande,UMP,Assemblée nationale,346574
Brigitte Gonthier-Maurin,CRC,Sénat,338046
Gérard Cherpion,UMP,Assemblée nationale,330636
Jean-François Mancel,UMP,Assemblée nationale,323902
Patrice Calméjane,UMP,Assemblée nationale,320413
Patrick Beaudouin,UMP,Assemblée nationale,312832
Joël Bourdin,UMP,Sénat,310843
Olivier Dassault,UMP,Assemblée nationale,307481
Jacques Pélissard,UMP,Assemblée nationale,303062
Michèle Tabarot,UMP,Assemblée nationale,298740
Jean-Jacques Guillet,UMP,Assemblée nationale,294032
Thierry Foucaud,CRC,Sénat,293330
François Zocchetto,UDI,Sénat,292563
Yvon Collin,RDSE,Sénat,287088
Pierre Lequiller,UMP,Assemblée nationale,286070
Michel Doublet,UMP,Sénat,285200
Alain Joyandet,UMP,Assemblée nationale,284135
Alain Marleix,UMP,Assemblée nationale,283915
Marie-Noëlle Battistel,SRC,Assemblée nationale,283699
Groupe ECOLO,ECOLO,Assemblée nationale,282500
Nicolas Forissier,UMP,Assemblée nationale,280543
Guy Fischer,CRC,Sénat,279061
Jean-Claude Peyronnet,SOC,Sénat,278987
Bernard Reynès,UMP,Assemblée nationale,276047
Michel Herbillon,UMP,Assemblée nationale,273617
Marc Francina,UMP,Assemblée nationale,268690
Pierre Lang,UMP,Assemblée nationale,265230
Georges Colombier,UMP,Assemblée nationale,265080
François Trucy,UMP,Sénat,264083
Yves Deniaud,UMP,Assemblée nationale,262487
Jean-Claude Mathis,UMP,Assemblée nationale,260949
Hervé Novelli,UMP,Assemblée nationale,260302
Bruno Le Roux,SRC,Assemblée nationale,260000
Philippe Briand,UMP,Assemblée nationale,259055
François Goulard,UMP,Assemblée nationale,251286
Alfred Almont,UMP,Assemblée nationale,250019
René Couanau,NI,Assemblée nationale,249564
Charles Guené,UMP,Sénat,247287
Serge Poignant,UMP,Assemblée nationale,246426
Henri Emmanuelli,SRC,Assemblée nationale,241026
Yves Censi,UMP,Assemblée nationale,238445
Georges Ginesta,UMP,Assemblée nationale,238443
Philippe Meunier,UMP,Assemblée nationale,234975
Jean-Christophe Lagarde,UDI,Assemblée nationale,229500
Serge Grouard,UMP,Assemblée nationale,229404
Marie-Jo Zimmermann,UMP,Assemblée nationale,228791
